==17153== Lackey, an example Valgrind tool
==17153== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==17153== Using Valgrind-3.18.1 and LibVEX; rerun with -h for copyright info
==17153== Command: ./array_add
I  0402137b,3
 S 040387f8,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040012c8,8
I  04021363,3
I  04021366,4
 L 040012d0,4
I  0402136a,6
I  04021370,4
 L 040012d8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038800,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040012e0,8
I  04021363,3
I  04021366,4
 L 040012e8,4
I  0402136a,6
I  04021370,4
 L 040012f0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038808,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040012f8,8
I  04021363,3
I  04021366,4
 L 04001300,4
I  0402136a,6
I  04021370,4
 L 04001308,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038810,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001310,8
I  04021363,3
I  04021366,4
 L 04001318,4
I  0402136a,6
I  04021370,4
 L 04001320,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038818,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001328,8
I  04021363,3
I  04021366,4
 L 04001330,4
I  0402136a,6
I  04021370,4
 L 04001338,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038820,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001340,8
I  04021363,3
I  04021366,4
 L 04001348,4
I  0402136a,6
I  04021370,4
 L 04001350,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038828,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001358,8
I  04021363,3
I  04021366,4
 L 04001360,4
I  0402136a,6
I  04021370,4
 L 04001368,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038830,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001370,8
I  04021363,3
I  04021366,4
 L 04001378,4
I  0402136a,6
I  04021370,4
 L 04001380,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038838,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001388,8
I  04021363,3
I  04021366,4
 L 04001390,4
I  0402136a,6
I  04021370,4
 L 04001398,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038840,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040013a0,8
I  04021363,3
I  04021366,4
 L 040013a8,4
I  0402136a,6
I  04021370,4
 L 040013b0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038848,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040013b8,8
I  04021363,3
I  04021366,4
 L 040013c0,4
I  0402136a,6
I  04021370,4
 L 040013c8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038850,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040013d0,8
I  04021363,3
I  04021366,4
 L 040013d8,4
I  0402136a,6
I  04021370,4
 L 040013e0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038858,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040013e8,8
I  04021363,3
I  04021366,4
 L 040013f0,4
I  0402136a,6
I  04021370,4
 L 040013f8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038860,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001400,8
I  04021363,3
I  04021366,4
 L 04001408,4
I  0402136a,6
I  04021370,4
 L 04001410,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038868,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001418,8
I  04021363,3
I  04021366,4
 L 04001420,4
I  0402136a,6
I  04021370,4
 L 04001428,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038870,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001430,8
I  04021363,3
I  04021366,4
 L 04001438,4
I  0402136a,6
I  04021370,4
 L 04001440,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038878,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001448,8
I  04021363,3
I  04021366,4
 L 04001450,4
I  0402136a,6
I  04021370,4
 L 04001458,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038880,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001460,8
I  04021363,3
I  04021366,4
 L 04001468,4
I  0402136a,6
I  04021370,4
 L 04001470,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038888,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001478,8
I  04021363,3
I  04021366,4
 L 04001480,4
I  0402136a,6
I  04021370,4
 L 04001488,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038890,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 04001490,8
I  04021363,3
I  04021366,4
 L 04001498,4
I  0402136a,6
I  04021370,4
 L 040014a0,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 04038898,8
I  0402137e,3
I  04021381,2
I  04021360,3
 L 040014a8,8
I  04021363,3
I  04021366,4
 L 040014b0,4
I  0402136a,6
I  04021370,4
 L 040014b8,8
I  04021374,4
I  04021378,3
I  0402137b,3
 S 040388a0,8
I  0402137e,3
I  04021381,2
I  04021360,3
